Key,Experment_Id,Algorithm,Event,TimeSpan
0,4,SRA,Training,3.411649135
1,4,SRA,Test,0.21128084
2,3,SRA,Training,3.5322607416666667
3,3,SRA,Test,0.2063907
4,1,SRA,Training,3.5926294633333336
5,1,SRA,Test,0.20500700166666666
6,2,SRA,Training,3.5800140233333333
7,2,SRA,Test,0.20806498166666668
8,5,SRA,Training,3.6288709366666665
9,5,SRA,Test,0.21785814333333334
10,4,FPLV-C,Training,5.96739876
11,4,FPLV-C,Test,0.24154534166666666
12,3,FPLV-C,Training,5.958625013333333
13,3,FPLV-C,Test,0.24868028833333333
14,1,FPLV-C,Training,5.9781726766666665
15,1,FPLV-C,Test,0.24370701
16,2,FPLV-C,Training,5.96183186
17,2,FPLV-C,Test,0.24422282
18,5,FPLV-C,Training,5.918348763333333
19,5,FPLV-C,Test,0.24603462833333334
20,4,FPLV-KNN,Training,2.825082595
21,4,FPLV-KNN,Test,0.242698295
22,3,FPLV-KNN,Training,2.82579893
23,3,FPLV-KNN,Test,0.24840410333333332
24,1,FPLV-KNN,Training,2.8130823583333333
25,1,FPLV-KNN,Test,0.24232021166666667
26,2,FPLV-KNN,Training,2.8020079916666667
27,2,FPLV-KNN,Test,0.245240335
28,5,FPLV-KNN,Training,2.828419761666667
29,5,FPLV-KNN,Test,0.24826619333333333
30,4,FPLV-ALL,Training,2.864125738333333
31,4,FPLV-ALL,Test,0.258244495
32,3,FPLV-ALL,Training,2.8780603566666665
33,3,FPLV-ALL,Test,0.2610227216666667
34,1,FPLV-ALL,Training,2.9265290416666665
35,1,FPLV-ALL,Test,0.25951894833333333
36,2,FPLV-ALL,Training,2.8730218216666668
37,2,FPLV-ALL,Test,0.25738752666666664
38,5,FPLV-ALL,Training,2.88197673
39,5,FPLV-ALL,Test,0.26334133833333334
40,4,FPLV-SS,Training,5.978305235
41,4,FPLV-SS,Test,0.165561395
42,3,FPLV-SS,Training,5.849667241666666
43,3,FPLV-SS,Test,0.170178185
44,1,FPLV-SS,Training,5.771049196666667
45,1,FPLV-SS,Test,0.16302944666666666
46,2,FPLV-SS,Training,5.76283456
47,2,FPLV-SS,Test,0.16280706166666667
48,5,FPLV-SS,Training,5.789697096666667
49,5,FPLV-SS,Test,0.166786145
50,4,VS,Training,5.641341988333333
51,4,VS,Test,0.2965918866666667
52,3,VS,Training,5.6582453
53,3,VS,Test,0.297334455
54,1,VS,Training,5.696381536666666
55,1,VS,Test,0.29658528166666664
56,2,VS,Training,5.781333246666667
57,2,VS,Test,0.30316754333333334
58,5,VS,Training,5.738541911666666
59,5,VS,Test,0.3065362383333333
60,4,Bhattacharyya-Cos,Training,3.7341223366666667
61,4,Bhattacharyya-Cos,Test,0.026252845
62,3,Bhattacharyya-Cos,Training,3.7354457433333335
63,3,Bhattacharyya-Cos,Test,0.02559188
64,1,Bhattacharyya-Cos,Training,3.73009479
65,1,Bhattacharyya-Cos,Test,0.028434325
66,2,Bhattacharyya-Cos,Training,3.662471225
67,2,Bhattacharyya-Cos,Test,0.026641215
68,5,Bhattacharyya-Cos,Training,3.66251802
69,5,Bhattacharyya-Cos,Test,0.024089818333333332
70,4,Entropy,Training,5.057113705
71,4,Entropy,Test,0.17950188
72,3,Entropy,Training,5.02447898
73,3,Entropy,Test,0.17904308166666666
74,1,Entropy,Training,4.99721485
75,1,Entropy,Test,0.17882806333333334
76,2,Entropy,Training,4.977661085
77,2,Entropy,Test,0.18665815166666666
78,5,Entropy,Training,4.983551545
79,5,Entropy,Test,0.18463364333333335
80,4,DTEC,Training,12.99977078
81,4,DTEC,Test,0.17950299666666666
82,3,DTEC,Training,13.566401556666667
83,3,DTEC,Test,0.18279795166666668
84,1,DTEC,Training,13.204588963333334
85,1,DTEC,Test,0.17971840333333333
86,2,DTEC,Training,13.751972795
87,2,DTEC,Test,0.180005255
88,5,DTEC,Training,13.62551735
89,5,DTEC,Test,0.180306255
90,4,LIBMF,Training,0.14252408333333333
91,4,LIBMF,Test,1.09907656
92,3,LIBMF,Training,0.12998206166666668
93,3,LIBMF,Test,1.1476860533333333
94,1,LIBMF,Training,0.12970581333333334
95,1,LIBMF,Test,1.10285624
96,2,LIBMF,Training,0.13000781333333333
97,2,LIBMF,Test,1.1018113483333334
98,5,LIBMF,Training,0.130063865
99,5,LIBMF,Test,1.09956314
